source_name,full_date,day,max_temp,min_temp,condition,humidity,precipitation,wind_speed,wind_direction
AccuWeather,21-11-2025,Friday,30°,17°,Plenty of sun,,0%,,
AccuWeather,22-11-2025,Saturday,30°,18°,Plenty of sunshine,,0%,,
AccuWeather,23-11-2025,Sunday,29°,18°,Sunny,,1%,,
AccuWeather,24-11-2025,Monday,29°,17°,Mostly sunny,,1%,,
AccuWeather,25-11-2025,Tuesday,29°,17°,Sunny,,0%,,
AccuWeather,26-11-2025,Wednesday,28°,19°,Partly sunny,,0%,,
AccuWeather,27-11-2025,Thursday,31°,17°,Sun through high clouds,,0%,,
AccuWeather,28-11-2025,Friday,30°,18°,Partly sunny,,0%,,
AccuWeather,29-11-2025,Saturday,30°,20°,Mostly sunny,,2%,,
Local Weather Report and Forecast,20-11-2025,Thursday,31°C,20°C,Partly cloudy sky,,,,
Local Weather Report and Forecast,21-11-2025,Friday,31°C,20°C,Partly cloudy sky,,,,
Local Weather Report and Forecast,22-11-2025,Saturday,32°C,21°C,Partly cloudy sky,,,,
Local Weather Report and Forecast,23-11-2025,Sunday,32°C,21°C,Partly cloudy sky,,,,
Local Weather Report and Forecast,24-11-2025,Monday,32°C,21°C,Partly cloudy sky,,,,
Local Weather Report and Forecast,25-11-2025,Tuesday,32°C,19°C,Partly cloudy sky,,,,
Local Weather Report and Forecast,26-11-2025,Wednesday,32°C,19°C,Partly cloudy sky,,,,
